sdb               0.00     0.00    0.00 3763.00     0.00 3853312.00  1024.00   126.41   33.60   0.27 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.42   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.44   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3763.00     0.00 3853312.00  1024.00   126.44   33.60   0.27 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.42   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.52   33.13   0.26 100.10
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.43   33.15   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.36   33.12   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.41   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.40   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.39   33.14   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.38   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3816.00     0.00 3907584.00  1024.00   126.37   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3814.00     0.00 3905536.00  1024.00   126.36   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.39   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.37   33.13   0.26 100.00
sdb               0.00     0.00    0.00 3815.00     0.00 3906560.00  1024.00   126.37   33.13   0.26 100.00
